angle,height,distance
79.0,1.0,4.005307688608188
80.0,1.0,3.6558486346535415
81.0,1.0,3.30223194182589
82.0,1.0,2.9448579640915664
83.0,1.0,2.5841318984504835
84.0,1.0,2.220463259701776
85.0,1.0,1.8542653506965452
86.0,1.0,1.4859547286210417
87.0,1.0,1.1159506678620095
88.0,1.0,0.7446746200129631
89.0,1.0,0.3725496715862141
90.0,1.0,1.307284782807317E-15
0.0,2.0,6.386599135621173
1.0,2.0,6.566043011501861
2.0,2.0,6.748269013358616
3.0,2.0,6.933021734916292
4.0,2.0,7.1200208691674645
5.0,2.0,7.308962195022336
6.0,2.0,7.499518825166084
7.0,2.0,7.691342689241192
8.0,2.0,7.884066221393744
9.0,2.0,8.077304217567782
10.0,2.0,8.270655825780457
11.0,2.0,8.463706631942395
12.0,2.0,8.656030804493945
13.0,2.0,8.847193263029798
14.0,2.0,9.036751838954817
15.0,2.0,9.224259399800408
16.0,2.0,9.409265912877746
17.0,2.0,9.591320428209967
18.0,2.0,9.769972964957192
19.0,2.0,9.944776289649532
20.0,2.0,10.11528757833885
21.0,2.0,10.281069958176076
22.0,2.0,10.441693926860955
23.0,2.0,10.596738650872828
24.0,2.0,10.74579314537841
25.0,2.0,10.888457340249973
26.0,2.0,11.024343037754342
27.0,2.0,11.153074768237097
28.0,2.0,11.274290550579476
29.0,2.0,11.387642564400153
30.0,2.0,11.492797740960828
31.0,2.0,11.589438279559287
32.0,2.0,11.677262095898318
33.0,2.0,11.755983208538384
34.0,2.0,11.825332069106807
35.0,2.0,11.885055841470901
36.0,2.0,11.934918634605994
37.0,2.0,11.974701693417543
38.0,2.0,12.004203551319998
39.0,2.0,12.023240147942015
40.0,2.0,12.031644914923664
41.0,2.0,12.029268832399005
42.0,2.0,12.01598045841879
43.0,2.0,11.991665933263302
44.0,2.0,11.956228960323203
45.0,2.0,11.909590764986223
46.0,2.0,11.851690032756899
47.0,2.0,11.782482827653656
48.0,2.0,11.701942491770092
49.0,2.0,11.610059526752721
50.0,2.0,11.506841457833811
51.0,2.0,11.392312680962752
52.0,2.0,11.266514293500634
53.0,2.0,11.129503908878796
54.0,2.0,10.981355455570482
55.0,2.0,10.822158960684773
56.0,2.0,10.652020318461242
57.0,2.0,10.47106104392164
58.0,2.0,10.279418011919873
59.0,2.0,10.077243181822608
60.0,2.0,9.864703308049037
61.0,2.0,9.641979636699011
62.0,2.0,9.409267588502955
63.0,2.0,9.166776428334295
64.0,2.0,8.914728921534751
65.0,2.0,8.653360977314756
66.0,2.0,8.382921279504313
67.0,2.0,8.103670904944252
68.0,2.0,7.815882929823229
69.0,2.0,7.519842024281679
70.0,2.0,7.215844035620485
71.0,2.0,6.904195560468664
72.0,2.0,6.585213506280895
73.0,2.0,6.259224642552273
74.0,2.0,5.926565142153858
75.0,2.0,5.587580113208377
76.0,2.0,5.242623121940819
77.0,2.0,4.8920557069535135
78.0,2.0,4.536246885389397
79.0,2.0,4.175572651460742
80.0,2.0,3.810415467833448
81.0,2.0,3.441163750368881
82.0,2.0,3.068211346736536
83.0,2.0,2.691957009421197
84.0,2.0,2.312803863657609
85.0,2.0,1.9311588708344327
86.0,2.0,1.547432287916821
87.0,2.0,1.1620371234437694
88.0,2.0,0.7753885906621579
89.0,2.0,0.3879035583643567
90.0,2.0,1.3611480400738646E-15
0.0,3.0,7.821954536985989
1.0,3.0,8.000725087248659
2.0,3.0,8.180935185010576
3.0,3.0,8.362341568149498
4.0,3.0,8.54468392550556
5.0,3.0,8.72768552612318
6.0,3.0,8.911053984579251
7.0,3.0,9.094482153093098
8.0,3.0,9.277649129090758
